mz,rt,intensity,CCS,Compound,NeutralFormula,CAS,SuperClass,Class,Subclass
248.0313,598,4770,152.4,Pyridoxal-5'-phosphate,C8H10NO6P,853645-22-4,Organoheterocyclic compounds,Pyridines and derivatives,Pyridine carboxaldehydes
270.0148,1045,10653,162.4,Pyridoxal-5'-phosphate,C8H10NO6P,853645-22-4,Organoheterocyclic compounds,Pyridines and derivatives,Pyridine carboxaldehydes
238.9182,993,6840,136.4,Picloram,C6H3Cl3N2O2,,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
240.9338,1654,911,141.9,Picloram,C6H3Cl3N2O2,,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
262.9158,443,3491,155.4,Picloram,C6H3Cl3N2O2,,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
137.0712,1146,10724,126.1,1-Methylnicotinamide,C7H9N2O,1005-24-9,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
140.0349,1563,11040,129.1,6-Hydroxynicotinate,C6H5NO3,5006-66-6,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
122.0271,1791,8799,121.3,Nicotinate,C6H5NO2,59-67-6,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
124.0407,634,11474,123.9,Nicotinate,C6H5NO2,59-67-6,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
182.0452,544,3320,130.9,4-Pyridoxate,C8H9NO4,82-82-6,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
222.015,1084,10970,147.6,4-Pyridoxate,C8H9NO4,82-82-6,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
184.0586,970,10096,136,4-Pyridoxate,C8H9NO4,82-82-6,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
206.0401,1475,9046,150.6,4-Pyridoxate,C8H9NO4,82-82-6,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
166.015,1453,7694,128,Quinolinic Acid,C7H5NO4,89-00-9,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
168.0277,831,2347,134.9,Quinolinic Acid,C7H5NO4,89-00-9,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
145.0368,911,9829,136.4,Nicotinamide,C6H6N2O,98-92-0,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
123.0557,1774,1961,126.7,Nicotinamide,C6H6N2O,98-92-0,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
167.0826,794,962,136.4,Pyridoxamine,C8H12N2O2,524-36-7,Organoheterocyclic compounds,Pyridines and derivatives,Pyridoxamines
169.0968,1512,9283,134.4,Pyridoxamine,C8H12N2O2,524-36-7,Organoheterocyclic compounds,Pyridines and derivatives,Pyridoxamines
191.0789,896,1064,145.7,Pyridoxamine,C8H12N2O2,524-36-7,Organoheterocyclic compounds,Pyridines and derivatives,Pyridoxamines
192.0625,111,14795,144.2,Pyridoxine,C8H11NO3,65-23-6,Organoheterocyclic compounds,Pyridines and derivatives,Pyridoxines
168.0677,947,2233,134.7,Pyridoxine,C8H11NO3,65-23-6,Organoheterocyclic compounds,Pyridines and derivatives,Pyridoxines
170.0832,575,11614,134.5,Pyridoxine,C8H11NO3,65-23-6,Organoheterocyclic compounds,Pyridines and derivatives,Pyridoxines
241.0851,1545,13099,154.2,Thymidine,C10H14N2O5,50-89-5,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides
265.0796,837,7838,161.2,Thymidine,C10H14N2O5,50-89-5,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides
226.0847,1800,4421,149.1,Deoxycytidine,C9H13N3O4,951-77-9,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides
266.0527,786,3412,158.5,Deoxycytidine,C9H13N3O4,951-77-9,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides
250.0771,1073,2784,156.1,Deoxycytidine,C9H13N3O4,951-77-9,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides
227.0671,1105,7601,150,Deoxyuridine,C9H12N2O5,951-78-0,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides
251.0625,1677,6943,157.3,Deoxyuridine,C9H12N2O5,951-78-0,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides
256.0933,1020,13452,159.9,5-Methylcytidine,C10H15N3O5,2140-61-6,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,
258.109,185,6696,156.5,5-Methylcytidine,C10H15N3O5,2140-61-6,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,
280.0909,998,5360,167.9,5-Methylcytidine,C10H15N3O5,2140-61-6,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,
245.0774,1303,12932,161.1,Uridine,C9H12N2O6,58-96-8,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,
243.0631,1145,4312,152,Uridine,C9H12N2O6,58-96-8,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,
267.0581,1792,10825,162.5,Uridine,C9H12N2O6,58-96-8,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,
242.0804,1120,4532,150,Cytidine,C9H13N3O5,65-46-3,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,
244.0927,203,1683,151.6,Cytidine,C9H13N3O5,65-46-3,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,
266.0743,637,2863,159.5,Cytidine,C9H13N3O5,65-46-3,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,
322.0444,700,7034,167.2,"Cytidine-2',3'-Cyclic Phosphate",C9H12N3O7P,15718-51-1,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Cyclic pyrimidine nucleotides
326.0157,1526,2343,165.1,"Cytidine-2',3'-Cyclic Phosphate",C9H12N3O7P,15718-51-1,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Cyclic pyrimidine nucleotides
304.0344,675,7582,164.6,"Cytidine-2',3'-Cyclic Phosphate",C9H12N3O7P,15718-51-1,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Cyclic pyrimidine nucleotides
306.0479,605,2105,163.2,"Cytidine-2',3'-Cyclic Phosphate",C9H12N3O7P,15718-51-1,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Cyclic pyrimidine nucleotides
344.0029,1777,4658,168,"Cytidine-2',3'-Cyclic Phosphate",C9H12N3O7P,15718-51-1,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Cyclic pyrimidine nucleotides
328.0301,851,10248,167.5,"Cytidine-2',3'-Cyclic Phosphate",C9H12N3O7P,15718-51-1,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Cyclic pyrimidine nucleotides
488.947,1193,6918,188.9,Deoxyuridine Triphosphate,C9H15N2O14P3,102814-08-4,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides
466.9659,825,1360,178.5,Deoxyuridine Triphosphate,C9H15N2O14P3,102814-08-4,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides
490.9617,764,3846,185.1,Deoxyuridine Triphosphate,C9H15N2O14P3,102814-08-4,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides
308.0648,1759,7266,164.5,2'-Deoxycytidine-5-monophosphate,C9H14N3O7P,1032-65-1,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides
330.0446,335,3078,156.6,2'-Deoxycytidine-5-monophosphate,C9H14N3O7P,1032-65-1,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides
306.0509,148,5217,163.7,2'-Deoxycytidine-5-monophosphate,C9H14N3O7P,1032-65-1,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides
330.0446,673,7342,164.9,2'-Deoxycytidine-5-monophosphate,C9H14N3O7P,1032-65-1,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides
323.0644,791,6797,162.8,Thymidine-5'-monophosphate,C10H15N2O8P,33430-62-5,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides
343.0309,1070,10254,167.7,Thymidine-5'-monophosphate,C10H15N2O8P,33430-62-5,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides
343.0318,1743,9909,176.2,Thymidine-5'-monophosphate,C10H15N2O8P,33430-62-5,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides
345.0467,1521,1194,173.5,Thymidine-5'-monophosphate,C10H15N2O8P,33430-62-5,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides
321.0488,748,13695,163.8,Thymidine-5'-monophosphate,C10H15N2O8P,33430-62-5,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides
329.0154,835,11161,162.1,Deoxyuridine Monophosphate,C9H13N2O8P,42155-08-8,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides
329.0154,1686,2211,171.9,Deoxyuridine Monophosphate,C9H13N2O8P,42155-08-8,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides
307.033,1763,6536,159.2,Deoxyuridine Monophosphate,C9H13N2O8P,42155-08-8,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides
331.0292,496,449,168.1,Deoxyuridine Monophosphate,C9H13N2O8P,42155-08-8,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine deoxyribonucleotides
628.0567,1031,8092,228.4,Uridine Diphosphate-N-acetylgalactosamine,C17H27N3O17P2,108320-87-2,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars
606.0748,1437,11854,223.9,Uridine Diphosphate-N-acetylgalactosamine,C17H27N3O17P2,108320-87-2,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars
608.0861,1726,10263,216.2,Uridine Diphosphate-N-acetylgalactosamine,C17H27N3O17P2,108320-87-2,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars
646.0325,663,8170,227.2,Uridine Diphosphate-N-acetylgalactosamine,C17H27N3O17P2,108320-87-2,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars
630.0673,1112,10849,218.2,Uridine Diphosphate-N-acetylgalactosamine,C17H27N3O17P2,108320-87-2,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars
587.0294,952,13219,215.7,Uridine Diphosphate Glucose,C15H24N2O17P2,133-89-1,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars
565.0496,764,6685,207.3,Uridine Diphosphate Glucose,C15H24N2O17P2,133-89-1,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars
605.0069,1697,8912,216.4,Uridine Diphosphate Glucose,C15H24N2O17P2,133-89-1,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars
589.0422,1396,5420,210.5,Uridine Diphosphate Glucose,C15H24N2O17P2,133-89-1,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars
587.0295,1165,7921,215.7,Uridine Diphosphogalactose,C15H24N2O17P2,137868-52-1,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars
565.0467,1744,2376,207.3,Uridine Diphosphogalactose,C15H24N2O17P2,137868-52-1,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars
605.0065,988,11856,216.4,Uridine Diphosphogalactose,C15H24N2O17P2,137868-52-1,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars
589.0419,1694,285,210.5,Uridine Diphosphogalactose,C15H24N2O17P2,137868-52-1,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars
585.0511,1269,5502,218.5,Deoxythymidine-diphosphate-D-Glucose,C16H26N2O16P2,148296-43-9,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars
563.0677,1229,4428,209.5,Deoxythymidine-diphosphate-D-Glucose,C16H26N2O16P2,148296-43-9,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars
587.0586,1010,13683,209.5,Deoxythymidine-diphosphate-D-Glucose,C16H26N2O16P2,148296-43-9,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars
601.0086,1577,1689,204.3,Uridine Diphosphate Glucuronic Acid,C15H22N2O18P2,63700-19-6,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars
579.0291,282,13749,211.9,Uridine Diphosphate Glucuronic Acid,C15H22N2O18P2,63700-19-6,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars
618.9852,1415,11420,218.4,Uridine Diphosphate Glucuronic Acid,C15H22N2O18P2,63700-19-6,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars
603.0207,507,2065,210.9,Uridine Diphosphate Glucuronic Acid,C15H22N2O18P2,63700-19-6,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars
628.0566,636,425,227.9,Uridine Diphosphate-N-acetylglucosamine,C17H27N3O17P2,91183-98-1,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars
606.074,336,14901,223.9,Uridine Diphosphate-N-acetylglucosamine,C17H27N3O17P2,91183-98-1,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars
608.0864,641,11695,210.4,Uridine Diphosphate-N-acetylglucosamine,C17H27N3O17P2,91183-98-1,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars
630.0679,1118,12859,217.9,Uridine Diphosphate-N-acetylglucosamine,C17H27N3O17P2,91183-98-1,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars
504.9426,949,11726,190.2,Uridine-5'-triphosphate,C9H15N2O15P3,108321-53-5,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
482.9623,1140,3258,180.1,Uridine-5'-triphosphate,C9H15N2O15P3,108321-53-5,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
484.9755,630,4655,186.9,Uridine-5'-triphosphate,C9H15N2O15P3,108321-53-5,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
506.9545,1692,13409,188.5,Uridine-5'-triphosphate,C9H15N2O15P3,108321-53-5,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
424.9773,349,12525,178.7,Uridine-5'-diphosphate,C9H14N2O12P2,27821-45-0,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
402.9956,492,4981,172.9,Uridine-5'-diphosphate,C9H14N2O12P2,27821-45-0,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
405.0095,1636,10092,176.5,Uridine-5'-diphosphate,C9H14N2O12P2,27821-45-0,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
426.9909,1525,11006,178.1,Uridine-5'-diphosphate,C9H14N2O12P2,27821-45-0,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
426.9909,1057,10776,181.7,Uridine-5'-diphosphate,C9H14N2O12P2,27821-45-0,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
467.0351,403,9974,185.9,Cytidine Diphosphate Ethanolamine,C11H20N4O11P2,3036-18-8,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
445.0534,1579,10650,188.1,Cytidine Diphosphate Ethanolamine,C11H20N4O11P2,3036-18-8,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
509.0831,918,2413,210.4,Citicoline,C14H26N4O11P2,33818-15-4,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
487.1,1059,13019,205.9,Citicoline,C14H26N4O11P2,33818-15-4,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
489.1105,961,6218,198.5,Citicoline,C14H26N4O11P2,33818-15-4,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
511.0926,1074,11385,208.1,Citicoline,C14H26N4O11P2,33818-15-4,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
423.9928,844,8206,176.3,Cytidine Diphosphate,C9H15N3O11P2,34393-59-4,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
402.0119,1455,14133,174.2,Cytidine Diphosphate,C9H15N3O11P2,34393-59-4,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
404.0233,1128,7411,175.6,Cytidine Diphosphate,C9H15N3O11P2,34393-59-4,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
426.0052,1367,3352,179.9,Cytidine Diphosphate,C9H15N3O11P2,34393-59-4,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
345.0122,774,9143,164.1,Uridine-5'-monophosphate,C9H13N2O9P,58-97-9,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
323.0317,1365,14457,162.3,Uridine-5'-monophosphate,C9H13N2O9P,58-97-9,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
325.0437,534,6243,167,Uridine-5'-monophosphate,C9H13N2O9P,58-97-9,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
347.0256,386,4606,172.8,Uridine-5'-monophosphate,C9H13N2O9P,58-97-9,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
344.0266,1499,4052,163.3,Cytidine-5'-monophosphate,C9H14N3O8P,63-37-6,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
322.0439,1424,14154,165.1,Cytidine-5'-monophosphate,C9H14N3O8P,63-37-6,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
324.0578,872,3545,167.1,Cytidine-5'-monophosphate,C9H14N3O8P,63-37-6,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
346.0393,998,7138,168.7,Cytidine-5'-monophosphate,C9H14N3O8P,63-37-6,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
487.0995,891,11197,207.7,Cytidine-5'-diphosphocholine,C14H26N4O11P2,987-78-0,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
489.1152,617,3840,197.6,Cytidine-5'-diphosphocholine,C14H26N4O11P2,987-78-0,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
511.0971,231,6354,207.7,Cytidine-5'-diphosphocholine,C14H26N4O11P2,987-78-0,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides
110.0246,242,4655,114.3,Pyrrole-2-Carboxylate,C5H5NO2,634-97-9,Organoheterocyclic compounds,Pyrroles,Pyrrole carboxylic acids and derivatives
180.0813,1055,7553,133.7,Acridine,C13H9N,260-94-6,Organoheterocyclic compounds,Quinolines and derivatives,Benzoquinolines
179.0735,821,490,132,Acridine,C13H9N,260-94-6,Organoheterocyclic compounds,Quinolines and derivatives,Benzoquinolines
393.1731,1048,5237,190.2,Sparfloxacin,C19H22F2N4O3,110871-86-8,Organoheterocyclic compounds,Quinolines and derivatives,Quinoline carboxylic acids
393.1735,1462,9637,214.5,Sparfloxacin,C19H22F2N4O3,110871-86-8,Organoheterocyclic compounds,Quinolines and derivatives,Quinoline carboxylic acids
431.1288,633,7422,216.1,Sparfloxacin,C19H22F2N4O3,110871-86-8,Organoheterocyclic compounds,Quinolines and derivatives,Quinoline carboxylic acids
415.1539,1173,11284,217.4,Sparfloxacin,C19H22F2N4O3,110871-86-8,Organoheterocyclic compounds,Quinolines and derivatives,Quinoline carboxylic acids
172.0396,774,945,134.6,4-Quinolinecarboxylate,C10H7NO2,486-74-8,Organoheterocyclic compounds,Quinolines and derivatives,Quinoline carboxylic acids
174.0544,681,5811,133.5,4-Quinolinecarboxylate,C10H7NO2,486-74-8,Organoheterocyclic compounds,Quinolines and derivatives,Quinoline carboxylic acids
190.0497,342,7614,136.6,Kynurenate,C10H7NO3,492-27-3,Organoheterocyclic compounds,Quinolines and derivatives,Quinoline carboxylic acids
212.0312,241,13370,151.2,Kynurenate,C10H7NO3,492-27-3,Organoheterocyclic compounds,Quinolines and derivatives,Quinoline carboxylic acids
188.0365,1563,8771,135.3,Kynurenate,C10H7NO3,492-27-3,Organoheterocyclic compounds,Quinolines and derivatives,Quinoline carboxylic acids
204.0317,179,7448,134.6,Xanthurenate,C10H7NO4,59-00-7,Organoheterocyclic compounds,Quinolines and derivatives,Quinoline carboxylic acids
206.0446,828,1588,140.4,Xanthurenate,C10H7NO4,59-00-7,Organoheterocyclic compounds,Quinolines and derivatives,Quinoline carboxylic acids
228.0265,1676,11397,148,Xanthurenate,C10H7NO4,59-00-7,Organoheterocyclic compounds,Quinolines and derivatives,Quinoline carboxylic acids
174.0567,125,1943,132.3,2-Quinolinecarboxylate,C10H7NO2,1993-10-07,Organoheterocyclic compounds,Quinolines and derivatives,Quinoline carboxylic acids
610.5403,1620,11794,262,Cer (d18:1/17:0),C35H69NO3,67492-16-4,Lipids and lipid-like molecules,Sphingolipids,Ceramides
586.2025,1108,12918,251.7,Cer (d18:1/17:0),C35H69NO3,67492-16-4,Lipids and lipid-like molecules,Sphingolipids,Ceramides
596.5346,862,13040,259.2,Cer (d18:1/17:0),C35H69NO3,67492-16-4,Lipids and lipid-like molecules,Sphingolipids,Ceramides
550.526,410,12698,250.4,Cer (d18:1/17:0),C35H69NO3,67492-16-4,Lipids and lipid-like molecules,Sphingolipids,Ceramides
1126.043,769,14124,463.5,Cer (d18:1/17:0),C35H69NO3,67492-16-4,Lipids and lipid-like molecules,Sphingolipids,Ceramides
552.5329,544,11402,260.5,Cer (d18:1/17:0),C35H69NO3,67492-16-4,Lipids and lipid-like molecules,Sphingolipids,Ceramides
534.5278,495,12116,257.9,Cer (d18:1/17:0),C35H69NO3,67492-16-4,Lipids and lipid-like molecules,Sphingolipids,Ceramides
574.5187,814,2312,255.5,Cer (d18:1/17:0),C35H69NO3,67492-16-4,Lipids and lipid-like molecules,Sphingolipids,Ceramides
568.5668,373,2196,263.99,Cer 36:00,C36H73NO3,,Lipids and lipid-like molecules,Sphingolipids,Ceramides
596.5981,182,12391,269.48,Cer 38:00,C38H77NO3,,Lipids and lipid-like molecules,Sphingolipids,Ceramides
624.6294,252,4638,276.2,Cer 40:00,C40H81NO3,,Lipids and lipid-like molecules,Sphingolipids,Ceramides
640.6244,878,2708,278.55,Cer 40:00 OH,C40H81NO4,,Lipids and lipid-like molecules,Sphingolipids,Ceramides
620.5981,1240,424,274.42,Cer 40:02,C40H77NO3,,Lipids and lipid-like molecules,Sphingolipids,Ceramides
652.6607,481,12912,282.26,Cer 42:00,C42H85NO3,,Lipids and lipid-like molecules,Sphingolipids,Ceramides
668.6556,919,11337,284.3,Cer 42:00 OH,C42H85NO4,,Lipids and lipid-like molecules,Sphingolipids,Ceramides
650.6451,1210,6722,279.75,Cer 42:01,C42H83NO3,,Lipids and lipid-like molecules,Sphingolipids,Ceramides
666.64,1013,6192,280.19,Cer 42:01 OH,C42H83NO4,,Lipids and lipid-like molecules,Sphingolipids,Ceramides
648.6294,1451,12530,278.96,Cer 42:02,C42H81NO3,,Lipids and lipid-like molecules,Sphingolipids,Ceramides
646.6138,797,10980,277.35,Cer 42:03,C42H79NO3,,Lipids and lipid-like molecules,Sphingolipids,Ceramides
548.5406,1413,8767,259.28,Cer 36:01,C36H71NO3,,Lipids and lipid-like molecules,Sphingolipids,Ceramides
576.5719,752,7874,266.02,Cer 38:01,C38H75NO3,,Lipids and lipid-like molecules,Sphingolipids,Ceramides
604.6032,1031,5767,271.54,Cer 40:01,C40H79NO3,,Lipids and lipid-like molecules,Sphingolipids,Ceramides
602.5876,913,1734,269.58,Cer 40:02,C40H77NO3,,Lipids and lipid-like molecules,Sphingolipids,Ceramides
618.6189,389,102,274.31,Cer 41:01,C41H81NO3,,Lipids and lipid-like molecules,Sphingolipids,Ceramides
632.6345,975,12004,277.23,Cer 42:01,C42H83NO3,,Lipids and lipid-like molecules,Sphingolipids,Ceramides
630.6189,149,10741,275.42,Cer 42:02,C42H81NO3,,Lipids and lipid-like molecules,Sphingolipids,Ceramides
628.6032,1006,2302,273.59,Cer 42:03,C42H79NO3,,Lipids and lipid-like molecules,Sphingolipids,Ceramides
644.6345,747,9523,277.7,Cer 43:02,C43H83NO3,,Lipids and lipid-like molecules,Sphingolipids,Ceramides
658.6502,216,2484,281.91,Cer 44:02,C44H85NO3,,Lipids and lipid-like molecules,Sphingolipids,Ceramides
614.624,996,469,276.04,Cer 42:01,C42H83NO3,,Lipids and lipid-like molecules,Sphingolipids,Ceramides
612.6083,137,2590,273.49,Cer 42:02,C42H81NO3,,Lipids and lipid-like molecules,Sphingolipids,Ceramides
674.6427,908,4011,284.08,Cer 42:00,C42H85NO3,,Lipids and lipid-like molecules,Sphingolipids,Ceramides
520.3537,938,9133,229.7,D-glucosyl-beta1-1'-D-erythro-sphingosine,C24H47NO7,52050-17-6,Lipids and lipid-like molecules,Sphingolipids,Glycosphingolipids
496.3041,269,5993,224.5,D-glucosyl-beta1-1'-D-erythro-sphingosine,C24H47NO7,52050-17-6,Lipids and lipid-like molecules,Sphingolipids,Glycosphingolipids
506.3333,1190,6947,226.8,D-glucosyl-beta1-1'-D-erythro-sphingosine,C24H47NO7,52050-17-6,Lipids and lipid-like molecules,Sphingolipids,Glycosphingolipids
460.329,721,12192,218.7,D-glucosyl-beta1-1'-D-erythro-sphingosine,C24H47NO7,52050-17-6,Lipids and lipid-like molecules,Sphingolipids,Glycosphingolipids
